,"Electricity demand, daily sum, (GWh)","Electricity power, daily peak, (GW)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",HDH_5,HDH_6,HDH_7,HDH_8,HDH_9,HDH_10,HDH_11,HDH_12,HDH_13,HDH_14,HDH_15,HDH_16,HDH_17,HDH_18,HDH_19,HDH_20,HDH_21,HDH_22,HDH_23,HDH_24,CDH_5,CDH_6,CDH_7,CDH_8,CDH_9,CDH_10,CDH_11,CDH_12,CDH_13,CDH_14,CDH_15,CDH_16,CDH_17,CDH_18,CDH_19,CDH_20,CDH_21,CDH_22,CDH_23,CDH_24,CDH_25,CDH_26,CDH_27,CDH_28,CDH_29,Holiday,Weekend,Non-workDay,Day Type
2015-07-02,93.135,5.012,25.641666666666666,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999993,5.399999999999999,14.499999999999996,495.4,471.4,447.4,423.4,399.4,375.4,351.4,327.4,303.4,279.4,255.4,231.4,207.4,183.4,159.39999999999998,135.4,111.4,88.60000000000001,68.8,53.89999999999999,41.1,30.5,22.6,15.599999999999998,8.7,False,False,False,Working Day
2015-07-03,84.486,4.488,23.5,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000036,6.200000000000006,15.400000000000002,26.700000000000003,39.50000000000001,52.49999999999999,444.0,420.0,396.0,372.0,348.0,323.99999999999994,299.99999999999994,275.99999999999994,252.0,228.0,204.0,179.99999999999997,156.0,132.00000000000003,109.00000000000004,90.20000000000002,75.39999999999999,62.7,51.49999999999999,40.50000000000001,30.1,21.5,14.7,9.5,4.600000000000001,True,False,True,Non-Working Day
2015-07-04,74.337,3.748,21.48958333333333,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.599999999999998,9.95,19.95,32.95,46.85,61.25,77.35,395.75000000000006,371.75,347.75,323.74999999999994,299.74999999999994,275.74999999999994,251.75,227.75,203.75000000000003,179.75000000000003,155.75000000000003,131.75000000000003,107.75,85.35000000000001,69.70000000000002,55.7,44.7,34.599999999999994,25.0,17.1,10.1,3.5,0.1999999999999993,0.0,0.0,False,True,True,Non-Working Day
2015-07-05,70.692,3.547,20.29652777777778,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4333333333333336,13.033333333333337,27.233333333333334,42.23333333333333,58.43333333333334,75.43333333333335,94.08333333333331,367.1166666666667,343.1166666666667,319.1166666666667,295.1166666666667,271.1166666666667,247.1166666666667,223.1166666666667,199.1166666666667,175.1166666666667,151.1166666666667,127.11666666666666,103.11666666666666,79.11666666666666,57.55,44.150000000000006,34.35,25.35,17.55,10.55,5.200000000000003,1.8000000000000045,0.0,0.0,0.0,0.0,False,True,True,Non-Working Day
2015-07-06,79.813,4.143,20.28888888888889,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0666666666666629,12.06666666666666,26.06666666666666,41.26666666666665,57.56666666666666,75.46666666666667,94.26666666666668,366.9333333333333,342.93333333333334,318.9333333333334,294.93333333333334,270.93333333333334,246.93333333333337,222.93333333333337,198.93333333333337,174.93333333333337,150.93333333333337,126.93333333333332,102.93333333333337,78.93333333333334,56.000000000000014,43.0,33.0,24.200000000000003,16.500000000000004,10.400000000000002,5.200000000000003,1.8000000000000045,0.0,0.0,0.0,0.0,False,False,False,Working Day
2015-07-07,80.487,4.173,20.66458333333333,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.600000000000001,21.200000000000006,35.20000000000001,50.4,67.55000000000001,85.75,375.9499999999999,351.94999999999993,327.94999999999993,303.94999999999993,279.94999999999993,255.95,231.95,207.95,183.95,159.95000000000002,135.95000000000002,111.95000000000005,87.95000000000002,64.94999999999999,48.55,37.15,27.15,18.35,11.5,5.700000000000003,1.7000000000000028,0.1000000000000014,0.0,0.0,0.0,False,False,False,Working Day
2015-07-08,77.819,3.72,20.59375,23.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3000000000000078,9.90000000000001,22.500000000000004,39.89999999999999,59.900000000000006,81.75000000000003,374.25000000000006,350.25000000000006,326.25000000000006,302.25,278.25,254.25,230.25,206.25,182.25,158.24999999999997,134.24999999999997,110.24999999999996,86.24999999999997,62.25,39.55,24.15000000000001,12.75,6.149999999999999,2.1499999999999986,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,Working Day
2015-07-09,77.551,3.776,20.55208333333333,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,4.949999999999999,14.150000000000002,27.85,43.05,60.85,82.75,373.25,349.25,325.25,301.25,277.25,253.25000000000009,229.25000000000003,205.25000000000003,181.25,157.25,133.25,109.25,85.25,61.45000000000001,42.2,27.4,17.1,8.3,2.1000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,Working Day
2015-07-10,77.618,3.856,20.20833333333333,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000021,6.500000000000004,14.400000000000006,25.000000000000007,38.400000000000006,52.7,69.30000000000001,91.4,365.0,341.0,317.0,293.0,269.0,245.00000000000003,221.00000000000003,197.0,172.99999999999997,149.0,125.0,101.0,77.9,59.5,43.400000000000006,30.000000000000004,19.4,9.700000000000005,2.3000000000000007,0.3999999999999986,0.0,0.0,0.0,0.0,0.0,False,False,False,Working Day
2015-07-11,74.188,3.694,21.70833333333333,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.200000000000003,9.400000000000002,17.400000000000002,29.8,43.1,57.9,73.0,401.0,377.0,352.99999999999994,328.99999999999994,305.0,280.99999999999994,256.99999999999994,232.99999999999997,209.0,185.0,161.0,137.00000000000003,113.00000000000004,92.20000000000002,74.4,58.40000000000001,46.80000000000001,36.1,26.9,18.000000000000004,10.000000000000004,3.400000000000002,0.3999999999999986,0.0,0.0,False,True,True,Non-Working Day
