,"Electricity demand, daily sum, (GWh)",HCDH
2015-07-02,462.6,126.5
2015-07-03,424.376,119.3
2015-07-04,396.572,99.2
2015-07-05,422.882,143.50000000000006
2015-07-06,507.533,165.38333333333335
2015-07-07,556.97,205.6533333333333
2015-07-08,541.464,208.6
2015-07-09,489.296,121.37166666666664
2015-07-10,494.03,171.7583333333333
2015-07-11,468.524,189.2
2015-07-12,480.017,209.2
2015-07-13,546.655,189.3
2015-07-14,532.54,149.555
2015-07-15,508.429,164.63333333333335
2015-07-16,460.404,101.09999999999997
2015-07-17,468.983,114.2
2015-07-18,485.589,179.35000000000005
2015-07-19,547.318,286.20000000000005
2015-07-20,622.939,309.6000000000001
2015-07-21,575.758,237.5
2015-07-22,509.406,169.7
2015-07-23,494.119,161.3
2015-07-24,492.282,183.6
2015-07-25,470.82,182.6
2015-07-26,491.198,212.5
2015-07-27,558.068,184.3333333333333
2015-07-28,593.878,255.6
2015-07-29,615.851,282.5
2015-07-30,596.964,200.8583333333333
2015-07-31,555.298,225.1
2015-08-01,503.157,225.1
2015-08-02,487.181,203.4
2015-08-03,561.226,236.5
2015-08-04,555.965,212.85
2015-08-05,522.326,190.7
2015-08-06,492.04,145.30000000000004
2015-08-07,489.663,155.70000000000002
2015-08-08,443.86,136.9
2015-08-09,445.809,139.1
2015-08-10,502.788,145.73333333333338
2015-08-11,509.155,144.24785714285713
2015-08-12,504.308,165.79999999999998
2015-08-13,491.91,147.20000000000002
2015-08-14,505.154,173.0
2015-08-15,505.949,227.00000000000003
2015-08-16,519.749,246.50000000000003
2015-08-17,596.145,271.99999999999994
2015-08-18,596.304,219.05
2015-08-19,595.99,208.40666666666664
2015-08-20,591.069,216.81666666666663
2015-08-21,534.038,188.7
2015-08-22,460.646,157.30000000000004
2015-08-23,461.049,156.91666666666669
2015-08-24,532.583,188.3333333333333
2015-08-25,542.589,221.0
2015-08-26,491.581,146.50000000000003
2015-08-27,469.577,119.7
2015-08-28,460.438,116.10000000000002
2015-08-29,441.659,155.0
2015-08-30,471.687,199.60000000000008
2015-08-31,561.973,245.2
2015-09-01,567.071,221.4
2015-09-02,566.971,223.6
2015-09-03,580.533,250.80000000000004
2015-09-04,550.064,198.6666666666667
2015-09-05,471.465,116.55
2015-09-06,455.928,136.9
2015-09-07,507.178,206.15000000000003
2015-09-08,600.813,266.3
2015-09-09,597.161,230.3
2015-09-10,525.438,122.30833333333337
2015-09-11,481.118,112.45000000000005
2015-09-12,439.544,121.93333333333332
2015-09-13,420.854,82.13333333333334
2015-09-14,421.479,58.8
2015-09-15,444.579,114.6
2015-09-16,475.415,153.60000000000002
2015-09-17,493.03,170.29999999999998
2015-09-18,490.272,153.60000000000008
2015-09-19,456.849,139.60000000000005
2015-09-20,416.268,107.95000000000002
2015-09-21,417.558,38.10000000000001
2015-09-22,417.913,36.766666666666666
2015-09-23,419.942,61.19999999999999
2015-09-24,432.027,86.80000000000001
