ds,"Temperature, daily mean (degC)","Temperature, daily peak (degC)",Holiday,Weekend,"Electricity demand, daily sum, (GWh)",Month,dayOfWeek,yhat_lgbm
2015-07-02,25.641666666666666,31.7,False,False,93.135,7,3,99.67163587047077
2015-07-03,23.5,30.6,True,False,84.486,7,4,86.28866282111996
2015-07-04,21.48958333333333,27.2,False,True,74.337,7,5,78.20020037994023
2015-07-05,20.29652777777778,25.6,False,True,70.692,7,6,73.1898094152316
2015-07-06,20.28888888888889,25.6,False,False,79.813,7,0,81.56218154144432
2015-07-07,20.66458333333333,26.1,False,False,80.487,7,1,83.05070192059135
2015-07-08,20.59375,23.95,False,False,77.819,7,2,82.25547408772808
2015-07-09,20.55208333333333,23.9,False,False,77.551,7,3,82.22458362779199
2015-07-10,20.20833333333333,24.4,False,False,77.618,7,4,80.67600330187416
2015-07-11,21.70833333333333,27.2,False,True,74.188,7,5,78.20020037994023
2015-07-12,23.29583333333333,29.4,False,True,74.887,7,6,79.91074870740194
2015-07-13,24.222916666666663,31.05,False,False,87.895,7,0,97.11356437962118
2015-07-14,23.262500000000003,30.6,False,False,87.634,7,1,90.03006442443676
2015-07-15,22.42916666666667,28.3,False,False,86.326,7,2,89.95307443331666
2015-07-16,22.681249999999995,28.9,False,False,87.533,7,3,90.25259338570125
2015-07-17,23.558333333333337,31.7,False,False,87.836,7,4,90.38618315303093
2015-07-18,21.972916666666663,29.4,False,True,74.173,7,5,78.19199105286602
2015-07-19,26.0,32.2,False,True,85.076,7,6,89.86485805082557
2015-07-20,25.875,29.4,False,False,97.677,7,0,101.57728043923292
2015-07-21,23.55416666666667,27.8,False,False,92.393,7,1,94.32941509433539
2015-07-22,23.38333333333334,27.8,False,False,90.692,7,2,93.30640182780611
2015-07-23,23.475000000000005,29.4,False,False,89.53,7,3,92.90300427913742
2015-07-24,25.337499999999995,31.7,False,False,94.053,7,4,97.34551325087138
2015-07-25,25.95833333333333,32.8,False,True,88.759,7,5,93.04887139546443
2015-07-26,24.066666666666663,29.4,False,True,82.274,7,6,85.25574814152486
2015-07-27,22.808333333333334,28.3,False,False,89.502,7,0,91.11557166261697
2015-07-28,24.02500000000001,31.1,False,False,92.792,7,1,92.96299900221297
2015-07-29,23.827430555555555,31.1,False,False,93.37,7,2,92.12559094797392
2015-07-30,25.649999999999995,31.7,False,False,96.77,7,3,99.67163587047077
2015-07-31,25.89375,32.8,False,False,98.945,7,4,98.89947807544922
2015-08-01,23.83333333333334,30.6,False,True,87.918,8,5,86.13721242199436
2015-08-02,24.46666666666667,31.7,False,True,84.104,8,6,87.34361324881235
2015-08-03,24.579166666666666,30.6,False,False,94.237,8,0,99.3333284486483
2015-08-04,26.67083333333333,32.8,False,False,97.204,8,1,103.76187751632688
2015-08-05,28.012500000000003,35.0,False,False,100.933,8,2,105.586911893373
2015-08-06,25.79583333333333,31.7,False,False,96.685,8,3,100.41809510637482
2015-08-07,22.133333333333336,28.3,False,False,89.672,8,4,88.09576920680715
2015-08-08,22.214583333333337,27.8,False,True,79.891,8,5,80.11310573307607
2015-08-09,20.9,26.7,False,True,74.317,8,6,74.81521999085187
2015-08-10,20.852777777777785,27.8,False,False,83.264,8,0,85.0361189491268
2015-08-11,21.69861111111111,27.8,False,False,85.327,8,1,88.24581928087304
2015-08-12,26.537499999999994,35.0,False,False,92.133,8,2,99.1572857093056
2015-08-13,29.562500000000004,37.8,False,False,101.398,8,3,113.60193223318646
2015-08-14,30.40833333333333,37.8,False,False,106.463,8,4,113.21111656112329
2015-08-15,31.6375,39.4,False,True,103.021,8,5,107.11498894980168
2015-08-16,30.53333333333333,38.9,False,True,100.209,8,6,102.74875738405123
2015-08-17,25.57291666666667,31.1,False,False,105.693,8,0,100.90965917157517
2015-08-18,23.70416666666667,28.9,False,False,97.438,8,1,95.34012838824742
2015-08-19,22.751388888888886,28.3,False,False,93.175,8,2,92.33464981312366
2015-08-20,22.4625,28.3,False,False,90.937,8,3,91.42057234392618
2015-08-21,22.260416666666668,27.8,False,False,88.052,8,4,89.933844507721
2015-08-22,23.155555555555555,28.9,False,True,83.049,8,5,85.26897282264807
2015-08-23,24.30416666666667,32.8,False,True,83.626,8,6,85.39637547593853
2015-08-24,25.67083333333333,34.4,False,False,98.877,8,0,96.69088490920082
2015-08-25,26.05,30.0,False,False,97.07,8,1,101.95736612398706
2015-08-26,28.65,35.0,False,False,107.077,8,2,108.79782478488663
2015-08-27,29.075000000000006,36.7,False,False,110.321,8,3,114.3571879338519
