ds,"Temperature, daily mean (degC)","Temperature, daily peak (degC)",Holiday,Weekend,"Electricity demand, daily sum, (GWh)",Month,dayOfWeek,yhat_lgbm
2015-07-02,23.27083333333333,26.1,False,False,462.6,7,3,489.23657265779497
2015-07-03,22.970833333333346,26.7,True,False,424.376,7,4,451.80164654016215
2015-07-04,22.133333333333336,23.3,False,True,396.572,7,5,435.93058380340887
2015-07-05,23.97916666666666,28.3,False,True,422.882,7,6,448.5266103447286
2015-07-06,24.89097222222222,28.3,False,False,507.533,7,0,511.09214496748615
2015-07-07,26.56888888888889,29.4,False,False,556.97,7,1,558.1631482575735
2015-07-08,26.691666666666663,29.4,False,False,541.464,7,2,559.5389380318711
2015-07-09,23.057152777777777,25.6,False,False,489.296,7,3,493.8250862545843
2015-07-10,25.156597222222228,28.3,False,False,494.03,7,4,508.2916012382664
2015-07-11,25.883333333333336,30.6,False,True,468.524,7,5,493.0964296292272
2015-07-12,26.716666666666672,31.1,False,True,480.017,7,6,496.5203767464043
2015-07-13,25.887499999999992,30.0,False,False,546.655,7,0,539.1614196628453
2015-07-14,24.23145833333333,25.825000000000003,False,False,532.54,7,1,512.1176846414706
2015-07-15,24.859722222222217,26.7,False,False,508.429,7,2,511.8507192490901
2015-07-16,22.20416666666668,26.1,False,False,460.404,7,3,464.06788855738114
2015-07-17,22.75833333333333,26.1,False,False,468.983,7,4,479.5053095696834
2015-07-18,25.472916666666663,28.9,False,True,485.589,7,5,493.3038886272443
2015-07-19,29.925000000000008,33.9,False,True,547.318,7,6,552.51328149868
2015-07-20,30.9,33.9,False,False,622.939,7,0,600.9454892748794
2015-07-21,27.89583333333334,30.6,False,False,575.758,7,1,593.9733684642092
2015-07-22,25.07083333333333,29.4,False,False,509.406,7,2,510.5537381736478
2015-07-23,24.72083333333333,28.9,False,False,494.119,7,3,510.64777789347414
2015-07-24,25.649999999999995,30.0,False,False,492.282,7,4,524.1054277816664
2015-07-25,25.60833333333333,30.6,False,True,470.82,7,5,483.09638722737753
2015-07-26,26.85416666666667,30.6,False,True,491.198,7,6,498.16053927677086
2015-07-27,25.68055555555556,29.4,False,False,558.068,7,0,529.1613772609961
2015-07-28,28.64999999999999,35.0,False,False,593.878,7,1,600.591034549594
2015-07-29,29.77083333333333,34.4,False,False,615.851,7,2,600.591034549594
2015-07-30,26.36909722222222,28.3,False,False,596.964,7,3,563.0683609374265
2015-07-31,27.37916666666668,31.7,False,False,555.298,7,4,564.469395861757
2015-08-01,27.379166666666677,31.1,False,True,503.157,8,5,537.0964414786791
2015-08-02,26.47500000000001,31.1,False,True,487.181,8,6,497.5483849078162
2015-08-03,27.854166666666668,31.7,False,False,561.226,8,0,569.9137700607095
2015-08-04,26.86875000000001,31.7,False,False,555.965,8,1,566.7314047296676
2015-08-05,25.945833333333336,30.0,False,False,522.326,8,2,542.3251917545107
2015-08-06,24.054166666666664,27.8,False,False,492.04,8,3,501.3306548938299
2015-08-07,24.4875,28.3,False,False,489.663,8,4,509.70707998537694
2015-08-08,23.704166666666666,27.2,False,True,443.86,8,5,452.4825109135037
2015-08-09,23.795833333333334,28.9,False,True,445.809,8,6,443.5795271769458
2015-08-10,24.07222222222222,27.8,False,False,502.788,8,0,503.4917726764624
2015-08-11,24.010327380952383,26.1,False,False,509.155,8,1,497.7989052123934
2015-08-12,24.90833333333333,28.3,False,False,504.308,8,2,514.648024652579
2015-08-13,24.13333333333333,27.8,False,False,491.91,8,3,503.72565905625027
2015-08-14,25.20833333333333,30.0,False,False,505.154,8,4,524.328691764311
2015-08-15,27.45833333333333,32.8,False,True,505.949,8,5,531.953278212942
2015-08-16,28.27083333333333,33.3,False,True,519.749,8,6,553.9542680295773
2015-08-17,29.33333333333333,33.9,False,False,596.145,8,0,600.6946212093925
2015-08-18,27.127083333333346,32.2,False,False,596.304,8,1,569.4748321039068
2015-08-19,26.68361111111111,30.0,False,False,595.99,8,2,562.6461808089063
2015-08-20,27.034027777777784,30.0,False,False,591.069,8,3,588.5470187666792
2015-08-21,25.8625,30.6,False,False,534.038,8,4,528.2482228134962
2015-08-22,24.55416666666666,28.9,False,True,460.646,8,5,478.1360216127184
2015-08-23,24.538194444444443,28.3,False,True,461.049,8,6,472.27510226808187
2015-08-24,25.847222222222225,30.0,False,False,532.583,8,0,542.1000199999663
2015-08-25,27.20833333333333,31.7,False,False,542.589,8,1,568.5133782202657
2015-08-26,24.104166666666668,28.9,False,False,491.581,8,2,502.86134403729454
2015-08-27,22.9875,27.2,False,False,469.577,8,3,486.04698995870774
2015-08-28,22.829166666666666,27.8,False,False,460.438,8,4,482.68026472017766
2015-08-29,24.45833333333333,30.6,False,True,441.659,8,5,469.56359439611083
2015-08-30,26.316666666666663,31.7,False,True,471.687,8,6,491.15670633971183
2015-08-31,28.216666666666665,32.8,False,False,561.973,8,0,600.6946212093925
2015-09-01,27.225000000000005,31.7,False,False,567.071,9,1,562.5949574494615
2015-09-02,27.316666666666677,32.2,False,False,566.971,9,2,563.5564113331026
2015-09-03,28.449999999999992,33.9,False,False,580.533,9,3,592.9390290108302
2015-09-04,26.27777777777777,28.9,False,False,550.064,9,4,547.0331975572813
2015-09-05,22.856250000000003,28.3,False,True,471.465,9,5,437.51212551069403
2015-09-06,23.704166666666666,30.0,False,True,455.928,9,6,436.471074269199
2015-09-07,26.589583333333326,32.8,True,False,507.178,9,0,506.0874972866926
2015-09-08,29.095833333333328,35.6,False,False,600.813,9,1,592.3370596273771
2015-09-09,27.59583333333333,31.7,False,False,597.161,9,2,562.1050561921242
2015-09-10,23.096180555555552,27.025,False,False,525.438,9,3,481.81323824099417
2015-09-11,22.685416666666665,26.7,False,False,481.118,9,4,472.30884962449386
2015-09-12,23.08055555555556,25.6,False,True,439.544,9,5,447.4471077135333
2015-09-13,21.38055555555556,25.6,False,True,420.854,9,6,396.27721649546396
2015-09-14,19.5125,24.4,False,False,421.479,9,0,423.53071944007155
2015-09-15,22.70833333333333,28.3,False,False,444.579,9,1,476.6413673558866
2015-09-16,24.399999999999995,30.6,False,False,475.415,9,2,492.0614740012943
2015-09-17,25.09583333333333,31.1,False,False,493.03,9,3,497.89678446742465
2015-09-18,24.39999999999999,30.0,False,False,490.272,9,4,493.71152330937304
2015-09-19,23.816666666666663,28.3,False,True,456.849,9,5,441.8004545874914
2015-09-20,22.49791666666667,26.1,False,True,416.268,9,6,420.6579181839822
2015-09-21,18.875000000000004,22.2,False,False,417.558,9,0,416.8026160587806
2015-09-22,19.294444444444448,21.7,False,False,417.913,9,1,424.8535713756133
2015-09-23,20.025,26.1,False,False,419.942,9,2,427.2136261829845
2015-09-24,21.34583333333333,27.2,False,False,432.027,9,3,430.6822393915561
2015-09-25,20.254166666666663,23.3,False,False,424.738,9,4,432.37751710586855
2015-09-26,18.887500000000003,21.7,False,True,378.677,9,5,382.8398538776129
2015-09-27,17.797916666666666,21.1,False,True,368.93,9,6,369.0200929714557
2015-09-28,21.754166666666677,25.8,False,False,433.494,9,0,456.96540394894106
2015-09-29,24.4025,27.8,False,False,474.076,9,1,499.62023682901867
2015-09-30,22.010138888888893,25.660000000000004,False,False,460.244,9,2,458.0643366651608
2015-10-01,14.824999999999996,17.8,False,False,399.333,10,3,393.856792110549
2015-10-02,10.735833333333332,13.9,False,False,394.031,10,4,392.1798194259171
2015-10-03,10.652777777777777,12.8,False,True,371.774,10,5,368.55434602689803
2015-10-04,13.747916666666663,16.7,False,True,356.587,10,6,359.7575911878007
2015-10-05,14.448611111111113,18.566666666666663,False,False,392.226,10,0,393.22659917586986
2015-10-06,16.849999999999998,22.2,False,False,396.728,10,1,394.4436422508699
2015-10-07,18.17083333333333,22.2,False,False,400.211,10,2,399.246092069137
2015-10-08,17.487499999999997,21.1,False,False,399.527,10,3,396.8897771941411
2015-10-09,19.38125,25.0,False,False,410.044,10,4,404.1816073020875
2015-10-10,14.208333333333329,17.2,False,True,359.395,10,5,364.56869600074674
2015-10-11,15.741666666666667,20.0,False,True,352.546,10,6,359.02069350730795
2015-10-12,18.07916666666667,24.4,True,False,392.355,10,0,374.8002997432351
2015-10-13,19.170833333333334,21.7,False,False,405.975,10,1,408.5972037269656
2015-10-14,17.083333333333332,20.6,False,False,397.351,10,2,394.7778541590264
2015-10-15,14.333333333333334,17.8,False,False,393.02,10,3,393.856792110549
2015-10-16,14.374999999999996,17.2,False,False,389.661,10,4,388.1941693997658
2015-10-17,10.029166666666669,12.8,False,True,365.989,10,5,370.49120248100377
