ds,y,temp,HDH,CDH,Day Type,train,yhat_hcdh,yhat_5p
2015-07-02,462.6,23.27083333333333,0.0,126.5,Working Day,True,479.5920392371005,481.73771703246035
2015-07-03,424.376,22.970833333333346,0.0,119.3,Non-Working Day,True,433.6708564257652,434.0022834874794
2015-07-04,396.572,22.133333333333336,0.0,99.2,Non-Working Day,True,419.08346775907745,419.28822483255453
2015-07-05,422.882,23.97916666666666,0.0,143.50000000000006,Non-Working Day,True,451.2337820841654,451.71771729092075
2015-07-06,507.533,24.89097222222222,0.0,165.38333333333335,Working Day,True,510.5362218457952,512.2005931143692
2015-07-07,556.97,26.56888888888889,0.0,205.6533333333333,Working Day,True,542.5839432427639,543.7498435169018
2015-07-08,541.464,26.691666666666663,0.0,208.6,Working Day,True,544.9289631678463,546.0583889482268
2015-07-09,489.296,23.057152777777777,0.0,121.37166666666664,Working Day,True,475.5108026367167,477.71996007986576
2015-07-10,494.03,25.156597222222228,0.0,171.7583333333333,Working Day,True,515.6095822606369,517.1950423648325
2015-07-11,468.524,25.883333333333336,0.0,189.2,Non-Working Day,True,484.4001334308135,485.172069556098
2015-07-12,480.017,26.716666666666672,0.0,209.2,Non-Working Day,True,498.9149480245327,499.8129239391077
2015-07-13,546.655,25.887499999999992,0.0,189.3,Working Day,True,529.569613206051,530.9379386683936
2015-07-14,532.54,24.23145833333333,0.0,149.555,Working Day,True,497.9396979608928,499.7999958511935
2015-07-15,508.429,24.859722222222217,0.0,164.63333333333335,Working Day,True,509.9393559146373,511.6130108496089
2015-07-16,460.404,22.20416666666668,0.0,101.09999999999997,Working Day,True,459.378179701888,461.68157572864067
2015-07-17,468.983,22.75833333333333,0.0,114.2,Working Day,True,469.8034379661118,472.1013678903906
2015-07-18,485.589,25.472916666666663,0.0,179.35000000000005,Non-Working Day,True,477.2515872434069,477.9614487724657
2015-07-19,547.318,29.925000000000008,0.0,286.20000000000005,Non-Working Day,True,554.7969842103514,556.1802133136948
2015-07-20,622.939,30.9,0.0,309.6000000000001,Working Day,True,625.30690856377,625.1861339359541
2015-07-21,575.758,27.89583333333334,0.0,237.5,Working Day,True,567.9281970484622,568.6998922169926
2015-07-22,509.406,25.07083333333333,0.0,169.7,Working Day,True,513.9715168717926,515.5824554826565
2015-07-23,494.119,24.72083333333333,0.0,161.3,Working Day,True,507.28661844282465,509.0015341173408
