,"Electricity demand, daily sum, (GWh)","Electricity power, daily peak, (GW)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",HDH_5,HDH_6,HDH_7,HDH_8,HDH_9,HDH_10,HDH_11,HDH_12,HDH_13,HDH_14,HDH_15,HDH_16,HDH_17,HDH_18,HDH_19,HDH_20,HDH_21,HDH_22,HDH_23,HDH_24,CDH_5,CDH_6,CDH_7,CDH_8,CDH_9,CDH_10,CDH_11,CDH_12,CDH_13,CDH_14,CDH_15,CDH_16,CDH_17,CDH_18,CDH_19,CDH_20,CDH_21,CDH_22,CDH_23,CDH_24,CDH_25,CDH_26,CDH_27,CDH_28,CDH_29,Holiday,Weekend,Non-workDay,Day Type
2015-07-02,64.932,3.679,26.67083333333333,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999999999999979,5.199999999999999,520.1,496.1000000000001,472.1000000000001,448.1000000000001,424.1,400.1,376.1,352.1,328.1,304.1000000000001,280.1000000000001,256.1,232.10000000000005,208.10000000000005,184.10000000000002,160.10000000000002,136.10000000000002,112.09999999999998,88.69999999999999,69.30000000000001,52.30000000000001,40.7,29.999999999999996,21.199999999999996,14.899999999999995,False,False,False,Working Day
2015-07-03,59.337,3.616,25.39166666666667,36.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000007,4.0000000000000036,10.400000000000002,20.4,32.2,44.300000000000004,489.4,465.4,441.4,417.4,393.4,369.4,345.4,321.4,297.4,273.4,249.39999999999998,225.39999999999998,201.39999999999998,177.39999999999998,154.19999999999996,133.39999999999998,115.80000000000001,101.8,89.6,77.69999999999999,67.29999999999998,57.699999999999996,48.699999999999996,39.9,31.999999999999996,True,False,True,Non-Working Day
2015-07-04,59.545,3.617,25.279166666666665,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999993,5.0,11.200000000000003,20.0,30.3,42.099999999999994,54.89999999999999,486.69999999999993,462.69999999999993,438.69999999999993,414.69999999999993,390.7,366.7,342.7,318.7,294.7,270.7,246.7,222.7,198.7,175.9,155.7,137.9,122.7,109.00000000000001,96.80000000000001,85.60000000000001,75.60000000000001,65.60000000000001,56.2,48.2,40.2,False,True,True,Non-Working Day
2015-07-05,53.021,3.134,22.40625,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000021,6.300000000000004,14.650000000000006,24.650000000000006,36.650000000000006,49.25,63.25,77.35000000000001,417.75,393.75,369.75,345.74999999999994,321.74999999999994,297.74999999999994,273.74999999999994,249.75,225.74999999999997,201.75,177.75,153.75,130.65,112.05,96.40000000000002,82.40000000000002,70.40000000000002,59.0,49.0,39.099999999999994,30.700000000000003,22.700000000000003,15.900000000000002,10.3,6.300000000000001,False,True,True,Non-Working Day
2015-07-06,55.365,3.33,22.618750000000002,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000007,5.849999999999998,13.45,21.55,31.75,43.14999999999999,56.04999999999999,69.25,83.34999999999997,422.84999999999997,398.85,374.85,350.85,326.85,302.84999999999997,278.84999999999997,254.85,230.85,206.85,182.85,159.65,140.70000000000002,124.30000000000001,108.4,94.6,81.99999999999999,70.89999999999999,60.099999999999994,50.2,41.199999999999996,32.599999999999994,25.499999999999993,18.499999999999993,12.299999999999994,False,False,False,Working Day
2015-07-07,54.404,3.149,22.475000000000005,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.400000000000002,11.3,21.900000000000002,33.3,46.5,60.5,74.6,419.4,395.4,371.4,347.3999999999999,323.3999999999999,299.4,275.4,251.4,227.4,203.4,179.39999999999998,155.39999999999998,131.4,110.8,94.70000000000002,81.30000000000001,68.69999999999999,57.90000000000001,47.9,38.0,29.600000000000005,22.600000000000005,16.200000000000006,11.200000000000006,6.900000000000006,False,False,False,Working Day
2015-07-08,50.337,2.755,20.116666666666664,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000007,5.800000000000001,16.400000000000002,29.1,42.699999999999996,57.1,72.1,88.69999999999999,106.4,362.79999999999995,338.79999999999995,314.79999999999995,290.79999999999995,266.8,242.79999999999998,218.79999999999998,194.79999999999998,170.79999999999998,146.79999999999998,122.80000000000001,99.60000000000002,80.6,67.19999999999999,55.9,45.5,35.900000000000006,26.9,19.5,13.2,7.800000000000001,3.8000000000000007,1.0,0.0,0.0,False,False,False,Working Day
2015-07-09,45.658,2.258,18.413194444444443,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.200000000000001,11.4,21.433333333333337,34.43333333333334,51.033333333333346,69.43333333333334,88.73333333333332,110.38333333333333,134.0833333333333,321.91666666666663,297.91666666666663,273.9166666666667,249.91666666666666,225.91666666666666,201.91666666666666,177.91666666666669,153.91666666666669,129.91666666666669,105.91666666666669,81.91666666666666,62.116666666666674,45.31666666666666,31.349999999999994,20.349999999999998,12.95,7.349999999999998,2.6499999999999986,0.3000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,Working Day
2015-07-10,46.958,2.416,20.291666666666668,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100000000000005,10.300000000000004,21.200000000000006,34.2,47.60000000000001,62.500000000000014,78.5,95.6,367.0,343.0,319.0,295.0,271.0,247.00000000000003,223.00000000000003,199.00000000000003,175.00000000000003,151.00000000000003,127.0,103.0,81.1,65.3,52.20000000000001,41.20000000000001,30.6,21.5,13.5,6.600000000000001,1.2000000000000028,0.0,0.0,0.0,0.0,False,False,False,Working Day
2015-07-11,47.176,2.619,21.79166666666666,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.200000000000001,6.000000000000002,13.000000000000002,21.400000000000002,31.000000000000004,42.400000000000006,54.7,68.5,83.3,403.0,379.0,355.0,331.00000000000006,307.0,283.0,259.0,235.00000000000003,211.00000000000003,187.00000000000003,163.0,140.20000000000002,120.99999999999999,103.99999999999999,88.4,74.0,61.400000000000006,49.69999999999999,39.5,30.299999999999997,22.299999999999997,14.699999999999996,8.299999999999997,3.4999999999999964,0.3999999999999986,False,True,True,Non-Working Day
